ID		Subscribers_Thousands_or_Million	Appx_Actual_Subscribers		Below_1k	Between_1k_5k	Between_5k_10k	Between_10k_25k	Between_25k_50k	Between_50k_100k	Between_100k_150k	Between_150k_200k	Between_200k_1m	Above_1m
0		2.18k	2180		0	1	0	0	0	0	0	0	0	0
1		4.15k	4150		0	1	0	0	0	0	0	0	0	0
2		129k	129000		0	0	0	0	0	0	1	0	0	0
3		16.2k	16200		0	0	0	1	0	0	0	0	0	0
4		12.2k	12200		0	0	0	1	0	0	0	0	0	0
5		51.5k	51500		0	0	0	0	0	1	0	0	0	0
6		134k	134000		0	0	0	0	0	0	1	0	0	0
7		72.2k	72200		0	0	0	0	0	1	0	0	0	0
8		26.7k	26700		0	0	0	0	1	0	0	0	0	0
9		2.66m	2660000		0	0	0	0	0	0	0	0	0	1
10		14.1k	14100		0	0	0	1	0	0	0	0	0	0
11		839k	839000		0	0	0	0	0	0	0	0	1	0
12		214k	214000		0	0	0	0	0	0	0	0	1	0
13		304k	304000		0	0	0	0	0	0	0	0	1	0
14		2.02m	2020000		0	0	0	0	0	0	0	0	0	1
15		3.54k	3540		0	1	0	0	0	0	0	0	0	0
16		0.69k	690		1	0	0	0	0	0	0	0	0	0
17		20k	20000		0	0	0	1	0	0	0	0	0	0
18		81.9k	81900		0	0	0	0	0	1	0	0	0	0
19		37.5k	37500		0	0	0	0	1	0	0	0	0	0
20		13.5k	13500		0	0	0	1	0	0	0	0	0	0
21		9.28k	9280		0	0	1	0	0	0	0	0	0	0
22		478k	478000		0	0	0	0	0	0	0	0	1	0
23		60.4k	60400		0	0	0	0	0	1	0	0	0	0
24		48.5k	48500		0	0	0	0	1	0	0	0	0	0
25		457k	457000		0	0	0	0	0	0	0	0	1	0
26		1.52m	1520000		0	0	0	0	0	0	0	0	0	1
27		85.6k	85600		0	0	0	0	0	1	0	0	0	0
28		423k	423000		0	0	0	0	0	0	0	0	1	0
29		95.1k	95100		0	0	0	0	0	1	0	0	0	0
30		1.78m	1780000		0	0	0	0	0	0	0	0	0	1
31		106k	106000		0	0	0	0	0	0	1	0	0	0
32		4.41k	4410		0	1	0	0	0	0	0	0	0	0
33		2.88k	2880		0	1	0	0	0	0	0	0	0	0
34		22.9k	22900		0	0	0	1	0	0	0	0	0	0
35		21.4k	21400		0	0	0	1	0	0	0	0	0	0
36		23.8k	23800		0	0	0	1	0	0	0	0	0	0
38		4.94k	4940		0	1	0	0	0	0	0	0	0	0
39		12k	12000		0	0	0	1	0	0	0	0	0	0
40		3.29k	3290		0	1	0	0	0	0	0	0	0	0
41		18.8k	18800		0	0	0	1	0	0	0	0	0	0
42		2.51k	2510		0	1	0	0	0	0	0	0	0	0
43		56.6k	56600		0	0	0	0	0	1	0	0	0	0
44		2.32k	2320		0	1	0	0	0	0	0	0	0	0
45		55.7k	55700		0	0	0	0	0	1	0	0	0	0
46		235k	235000		0	0	0	0	0	0	0	0	1	0
47		81.9k	81900		0	0	0	0	0	1	0	0	0	0
48		198k	198000		0	0	0	0	0	0	0	1	0	0
49		394k	394000		0	0	0	0	0	0	0	0	1	0
50		102k	102000		0	0	0	0	0	0	1	0	0	0
51		652k	652000		0	0	0	0	0	0	0	0	1	0
52		698k	698000		0	0	0	0	0	0	0	0	1	0
53		42.8k	42800		0	0	0	0	1	0	0	0	0	0
54		48.3k	48300		0	0	0	0	1	0	0	0	0	0
55		374k	374000		0	0	0	0	0	0	0	0	1	0
56		78.1k	78100		0	0	0	0	0	1	0	0	0	0
57		873k	873000		0	0	0	0	0	0	0	0	1	0
58		2.68k	2680		0	1	0	0	0	0	0	0	0	0
59		2.09k	2090		0	1	0	0	0	0	0	0	0	0
60		65k	65000		0	0	0	0	0	1	0	0	0	0
61		7.99k	7990		0	0	1	0	0	0	0	0	0	0